Gene family	p-value	FDR
OG0003188	0.999	0.999
OG0003189	0.999	0.999
OG0003190	0.999	0.999
OG0003191	0.999	0.999
OG0003193	0.999	0.999
OG0003194	0.973	0.999
OG0003195	0.998	0.999
OG0003196	0.993	0.999
OG0003197	0.994	0.999
OG0003198	0.998	0.999
OG0003199	0.995	0.999
OG0003200	0.927	0.999
OG0003201	0.996	0.999
OG0003202	0.999	0.999
OG0003203	0.999	0.999
OG0003204	0.999	0.999
OG0003205	0.999	0.999
OG0003206	0.999	0.999
OG0003207	0.917	0.999
OG0003208	0.999	0.999
OG0003209	0.999	0.999
OG0003211	0.996	0.999
OG0003212	0.996	0.999
OG0003213	0.997	0.999
OG0003214	0.983	0.999
OG0003215	0	0
OG0003216	0.997	0.999
OG0003217	0.997	0.999
OG0003218	0.985	0.999
OG0003219	0.997	0.999
OG0003220	0.996	0.999
OG0003222	0.995	0.999
OG0003223	0.995	0.999
OG0003224	0.988	0.999
OG0003225	0.995	0.999
OG0003226	0.999	0.999
OG0003227	0.999	0.999
OG0003228	0.999	0.999
OG0003229	0.999	0.999
OG0003230	0.957	0.999
OG0003231	0.732	0.999
OG0003232	0.997	0.999
OG0003233	0.994	0.999
OG0003234	0.986	0.999
OG0003235	0.997	0.999
OG0003237	0.999	0.999
OG0003238	0.734	0.999
OG0003239	0.999	0.999
OG0003240	0.998	0.999
OG0003241	0.999	0.999
OG0003242	0.876	0.999
OG0003243	0.999	0.999
OG0003244	0.999	0.999
OG0003245	0.994	0.999
OG0003246	0.997	0.999
OG0003247	0.999	0.999
OG0003248	0.999	0.999
OG0003249	0.946	0.999
OG0003250	0.983	0.999
OG0003251	0.986	0.999
OG0003252	0.979	0.999
OG0003253	0.999	0.999
OG0003254	0.999	0.999
OG0003255	0.966	0.999
OG0003256	0.999	0.999
OG0003257	0.999	0.999
OG0003259	0.994	0.999
OG0003260	0.994	0.999
OG0003261	0.994	0.999
OG0003262	0.999	0.999
OG0003263	0.999	0.999
OG0003264	0.992	0.999
OG0003265	0.996	0.999
OG0003266	0.994	0.999
OG0003267	0.881	0.999
OG0003268	0.962	0.999
OG0003269	0.999	0.999
OG0003270	0.988	0.999
OG0003271	0.993	0.999
OG0003272	0.993	0.999
OG0003273	0.994	0.999
OG0003274	0.999	0.999
OG0003275	0.999	0.999
OG0003276	0.999	0.999
OG0003277	0.999	0.999
OG0003278	0.999	0.999
OG0003279	0.996	0.999
OG0003280	0.999	0.999
OG0003281	0.988	0.999
OG0003282	0.999	0.999
OG0003283	0.999	0.999
OG0003284	0.999	0.999
OG0003285	0.742	0.999
OG0003286	0.999	0.999
OG0003287	0.981	0.999
OG0003288	0.994	0.999
OG0003289	0.995	0.999
OG0003290	0.996	0.999
OG0003291	0.917	0.999
OG0003292	0.999	0.999
OG0003293	0.999	0.999
OG0003294	0.999	0.999
OG0003295	0.999	0.999
OG0003297	0.998	0.999
OG0003298	0.997	0.999
OG0003299	0.986	0.999
OG0003300	0.996	0.999
OG0003301	0.993	0.999
OG0003302	0.989	0.999
OG0003303	0.961	0.999
OG0003304	0.999	0.999
OG0003305	0.997	0.999
OG0003306	0.994	0.999
OG0003307	0.998	0.999
OG0003308	0.927	0.999
OG0003309	0.988	0.999
OG0003310	0.998	0.999
OG0003311	0.993	0.999
OG0003312	0.993	0.999
OG0003313	0.966	0.999
OG0003314	0.855	0.999
OG0003315	0.988	0.999
OG0003317	0.876	0.999
OG0003318	0.005	0.184548387096774
OG0003326	0.999	0.999
OG0003327	0.998	0.999
OG0003328	0.999	0.999
OG0003329	0.752	0.999
OG0003330	0.999	0.999
OG0003331	0.999	0.999
OG0003332	0.999	0.999
OG0003333	0.998	0.999
OG0003334	0.997	0.999
OG0003335	0.986	0.999
OG0003336	0.998	0.999
OG0003337	0.998	0.999
OG0003339	0.995	0.999
OG0003340	0.998	0.999
OG0003341	0.994	0.999
OG0003342	0.997	0.999
OG0003343	0.999	0.999
OG0003344	0.997	0.999
OG0003346	0.994	0.999
OG0003347	0.999	0.999
OG0003348	0.996	0.999
OG0003349	0.82	0.999
OG0003350	0.999	0.999
OG0003351	0.997	0.999
OG0003352	0.999	0.999
OG0003353	0.999	0.999
OG0003354	0.999	0.999
OG0003355	0.844	0.999
OG0003356	0.885	0.999
OG0003357	0.966	0.999
OG0003358	0.999	0.999
OG0003359	0.986	0.999
OG0003360	0.986	0.999
OG0003361	0.999	0.999
OG0003362	0.998	0.999
OG0003363	0.637	0.999
OG0003364	0.999	0.999
OG0003365	0.971	0.999
OG0003366	0.986	0.999
OG0003367	0.998	0.999
OG0003368	0.999	0.999
OG0003369	0.998	0.999
OG0003370	0.999	0.999
OG0003371	0.995	0.999
OG0003372	0.999	0.999
OG0003373	0.999	0.999
OG0003374	0.994	0.999
OG0003375	0.01	0.336529411764706
OG0003376	0.995	0.999
OG0003377	0.971	0.999
OG0003378	0.999	0.999
OG0003379	0.999	0.999
OG0003380	0.998	0.999
OG0003381	0.998	0.999
OG0003382	0.999	0.999
OG0003383	0.999	0.999
OG0003384	0.953	0.999
OG0003385	0.771	0.999
OG0003386	0.999	0.999
OG0003387	0.999	0.999
OG0003388	0.995	0.999
OG0003389	0.983	0.999
OG0003390	0.999	0.999
OG0003391	0.999	0.999
OG0003392	0.999	0.999
OG0003393	0.995	0.999
OG0003394	0.992	0.999
OG0003395	0.992	0.999
OG0003397	0.987	0.999
OG0003398	0.994	0.999
OG0003399	0.995	0.999
OG0003400	0.998	0.999
OG0003401	0.995	0.999
OG0003402	0.999	0.999
OG0003403	0.999	0.999
OG0003404	0.999	0.999
OG0003406	0.998	0.999
OG0003407	0.763	0.999
OG0003408	0	0
OG0003410	0.998	0.999
OG0003411	0.999	0.999
OG0003412	0.999	0.999
OG0003413	0.999	0.999
OG0003414	0.943	0.999
OG0003415	0.999	0.999
OG0003416	0.993	0.999
OG0003417	0.996	0.999
OG0003418	0.997	0.999
OG0003419	0.976	0.999
OG0003420	0.997	0.999
OG0003421	0.999	0.999
OG0003422	0.998	0.999
OG0003423	0.999	0.999
OG0003424	0.988	0.999
OG0003425	0.994	0.999
OG0003426	0.994	0.999
OG0003427	0.999	0.999
OG0003428	0.997	0.999
OG0003429	0.999	0.999
OG0003430	0.999	0.999
OG0003431	0.997	0.999
OG0003432	0.99	0.999
OG0003433	0.999	0.999
OG0003434	0.998	0.999
OG0003435	0.999	0.999
OG0003436	0.999	0.999
OG0003437	0.998	0.999
OG0003438	0.999	0.999
OG0003440	0.993	0.999
OG0003441	0.997	0.999
OG0003442	0.999	0.999
OG0003443	0.999	0.999
OG0003444	0.998	0.999
OG0003445	0.869	0.999
OG0003446	0.995	0.999
OG0003447	0.996	0.999
OG0003448	0.986	0.999
OG0003449	0.999	0.999
OG0003450	0.999	0.999
OG0003451	0.999	0.999
OG0003452	0.999	0.999
OG0003453	0.995	0.999
OG0003454	0.987	0.999
OG0003455	0.999	0.999
OG0003456	0.993	0.999
OG0003457	0.999	0.999
OG0003458	0.999	0.999
OG0003459	0.998	0.999
OG0003460	0.988	0.999
OG0003461	0.999	0.999
OG0003462	0.998	0.999
OG0003463	0.999	0.999
OG0003464	0.999	0.999
OG0003465	0.998	0.999
OG0003466	0.999	0.999
OG0003467	0.997	0.999
OG0003468	0.999	0.999
OG0003469	0.999	0.999
OG0003470	0.999	0.999
OG0003471	0.998	0.999
OG0003472	0.813	0.999
OG0003473	0.995	0.999
OG0003474	0.998	0.999
OG0003475	0.999	0.999
OG0003476	0.999	0.999
OG0003477	0.999	0.999
OG0003478	0.999	0.999
OG0003479	0.999	0.999
OG0003480	0.996	0.999
OG0003481	0.993	0.999
OG0003482	0.997	0.999
OG0003483	0.999	0.999
OG0003484	0.94	0.999
OG0003485	0.994	0.999
OG0003486	0.999	0.999
OG0003488	0.999	0.999
OG0003489	0.99	0.999
OG0003490	0.965	0.999
OG0003491	0.999	0.999
OG0003492	0.999	0.999
OG0003493	0.999	0.999
OG0003494	0.999	0.999
OG0003495	0.999	0.999
OG0003496	0.9	0.999
OG0003497	0.977	0.999
OG0003498	0.999	0.999
OG0003499	0.999	0.999
OG0003500	0.999	0.999
OG0003501	0.999	0.999
OG0003502	0.999	0.999
OG0003503	0.999	0.999
OG0003504	0.999	0.999
OG0003505	0.999	0.999
OG0003506	0.998	0.999
OG0003507	0.999	0.999
OG0003508	0.971	0.999
OG0003509	0.999	0.999
OG0003510	0.92	0.999
OG0003511	0.997	0.999
OG0003512	0.999	0.999
OG0003513	0.999	0.999
OG0003514	0.997	0.999
OG0003515	0.999	0.999
OG0003516	0.999	0.999
OG0003517	0.999	0.999
OG0003518	0.912	0.999
OG0003519	0.997	0.999
OG0003520	0.995	0.999
OG0003521	0.999	0.999
OG0003522	0.976	0.999
OG0003523	0.999	0.999
OG0003524	0.985	0.999
OG0003525	0.984	0.999
OG0003526	0.998	0.999
OG0003527	0.999	0.999
OG0003528	0.999	0.999
OG0003529	0.999	0.999
OG0003530	0.999	0.999
OG0003531	0.999	0.999
OG0003532	0.92	0.999
OG0003533	0.999	0.999
OG0003534	0.999	0.999
OG0003535	0.999	0.999
OG0003536	0.999	0.999
OG0003537	0.999	0.999
OG0003538	0.999	0.999
OG0003539	0.998	0.999
OG0003540	0.996	0.999
OG0003541	0.998	0.999
OG0003542	0.998	0.999
OG0003543	0.995	0.999
OG0003544	0.798	0.999
OG0003545	0.999	0.999
OG0003546	0.999	0.999
OG0003547	0.995	0.999
OG0003548	0.999	0.999
OG0003549	0.989	0.999
OG0003550	0.99	0.999
OG0003551	0.995	0.999
OG0003552	0.66	0.999
OG0003553	0.999	0.999
OG0003554	0.999	0.999
OG0003555	0.992	0.999
OG0003556	0.995	0.999
OG0003557	0.846	0.999
OG0003558	0.998	0.999
OG0003559	0.999	0.999
OG0003560	0.924	0.999
OG0003561	0.999	0.999
OG0003562	0.843	0.999
OG0003563	0.987	0.999
OG0003564	0.994	0.999
OG0003565	0.999	0.999
OG0003566	0.998	0.999
OG0003567	0.999	0.999
OG0003568	0.998	0.999
OG0003569	0.999	0.999
OG0003570	0.997	0.999
OG0003571	0.999	0.999
OG0003572	0.999	0.999
OG0003573	0.999	0.999
OG0003574	0.999	0.999
OG0003575	0.999	0.999
OG0003576	0.997	0.999
OG0003577	0.999	0.999
OG0003578	0.994	0.999
OG0003579	0.999	0.999
OG0003580	0.999	0.999
OG0003581	0.962	0.999
OG0003582	0.999	0.999
OG0003583	0.994	0.999
OG0003584	0.999	0.999
OG0003585	0.871	0.999
OG0003586	0.999	0.999
OG0003587	0.999	0.999
OG0003588	0.999	0.999
OG0003589	0.941	0.999
OG0003590	0.789	0.999
OG0003591	0.999	0.999
OG0003592	0.999	0.999
OG0003593	0.865	0.999
OG0003594	0.999	0.999
OG0003595	0.999	0.999
OG0003596	0.938	0.999
OG0003597	0.999	0.999
OG0003598	0.961	0.999
OG0003599	0.838	0.999
OG0003600	0.993	0.999
OG0003602	0.126	0.999
OG0003610	0.99	0.999
OG0003611	0.999	0.999
OG0003612	0.998	0.999
OG0003613	0.998	0.999
OG0003614	0.869	0.999
OG0003615	0.77	0.999
OG0003616	0.999	0.999
OG0003617	0.996	0.999
OG0003618	0.995	0.999
OG0003619	0.997	0.999
OG0003620	0.999	0.999
OG0003621	0.999	0.999
OG0003622	0.996	0.999
OG0003623	0.997	0.999
OG0003624	0.998	0.999
OG0003625	0.999	0.999
OG0003626	0.995	0.999
OG0003627	0.994	0.999
OG0003628	0.979	0.999
OG0003629	0.999	0.999
OG0003630	0.999	0.999
OG0003631	0.999	0.999
OG0003632	0.999	0.999
OG0003633	0.994	0.999
OG0003634	0.999	0.999
OG0003635	0.999	0.999
OG0003636	0.997	0.999
OG0003637	0.996	0.999
OG0003638	0.934	0.999
OG0003639	0.693	0.999
OG0003640	0.999	0.999
OG0003641	0.976	0.999
OG0003642	0.99	0.999
OG0003643	0.999	0.999
OG0003644	0.999	0.999
OG0003645	0.945	0.999
OG0003646	0.999	0.999
OG0003647	0.999	0.999
OG0003648	0.999	0.999
OG0003649	0.996	0.999
OG0003650	0.997	0.999
OG0003651	0.999	0.999
OG0003652	0.999	0.999
OG0003653	0.999	0.999
OG0003654	0.999	0.999
OG0003655	0.999	0.999
OG0003656	0.998	0.999
OG0003657	0.996	0.999
OG0003658	0.996	0.999
OG0003659	0.999	0.999
OG0003660	0.927	0.999
OG0003661	0.998	0.999
OG0003662	0	0
OG0003663	0.933	0.999
OG0003664	0.999	0.999
OG0003665	0.999	0.999
OG0003666	0.999	0.999
OG0003667	0.997	0.999
OG0003668	0.999	0.999
OG0003669	0.999	0.999
OG0003670	0.999	0.999
OG0003671	0.996	0.999
OG0003672	0.935	0.999
OG0003673	0.999	0.999
OG0003674	0.997	0.999
OG0003675	0.999	0.999
OG0003676	0.999	0.999
OG0003677	0.998	0.999
OG0003678	0.999	0.999
OG0003679	0.999	0.999
OG0003680	0.999	0.999
OG0003681	0.999	0.999
OG0003682	0.996	0.999
OG0003683	0.924	0.999
OG0003684	0.996	0.999
OG0003685	0.999	0.999
OG0003686	0.939	0.999
OG0003688	0.995	0.999
OG0003689	0.999	0.999
OG0003690	0.999	0.999
OG0003691	0.999	0.999
OG0003692	0.992	0.999
OG0003693	0.999	0.999
OG0003694	0.989	0.999
OG0003695	0.999	0.999
OG0003696	0.995	0.999
OG0003697	0.971	0.999
OG0003698	0.999	0.999
OG0003699	0.876	0.999
OG0003700	0.999	0.999
OG0003701	0.996	0.999
OG0003702	0.999	0.999
OG0003703	0.996	0.999
OG0003705	0.992	0.999
OG0003706	0.94	0.999
OG0003707	0.999	0.999
OG0003708	0.999	0.999
OG0003709	0.999	0.999
OG0003710	0.999	0.999
OG0003711	0.999	0.999
OG0003712	0.999	0.999
OG0003713	0.993	0.999
OG0003714	0.997	0.999
OG0003715	0.999	0.999
OG0003716	0.998	0.999
OG0003717	0.999	0.999
OG0003718	0.999	0.999
OG0003719	0.999	0.999
OG0003720	0.953	0.999
OG0003721	0.999	0.999
OG0003722	0.994	0.999
OG0003724	0.929	0.999
OG0003725	0.999	0.999
OG0003726	0.946	0.999
OG0003727	0.999	0.999
OG0003728	0.999	0.999
OG0003729	0.999	0.999
OG0003730	0.996	0.999
OG0003732	0.999	0.999
OG0003733	0.999	0.999
OG0003734	0.999	0.999
OG0003735	0.999	0.999
OG0003736	0.999	0.999
OG0003737	0.946	0.999
OG0003738	0.99	0.999
OG0003739	0.999	0.999
OG0003740	0.999	0.999
OG0003741	0.999	0.999
OG0003742	0.995	0.999
OG0003743	0.999	0.999
OG0003744	0.999	0.999
OG0003745	0.995	0.999
OG0003746	0.994	0.999
OG0003747	0.997	0.999
OG0003748	0.996	0.999
OG0003749	0.999	0.999
OG0003750	0.999	0.999
OG0003751	0.967	0.999
OG0003752	0.999	0.999
OG0003753	0.995	0.999
OG0003754	0.993	0.999
OG0003755	0.999	0.999
OG0003756	0.999	0.999
OG0003757	0.983	0.999
OG0003758	0.999	0.999
OG0003759	0.997	0.999
OG0003760	0.999	0.999
OG0003761	0.999	0.999
OG0003762	0.999	0.999
OG0003763	0.999	0.999
OG0003764	0.999	0.999
OG0003765	0.996	0.999
OG0003767	0.999	0.999
OG0003768	0.999	0.999
OG0003769	0.997	0.999
OG0003770	0.999	0.999
OG0003771	0.992	0.999
OG0003772	0.995	0.999
OG0003773	0.999	0.999
OG0003774	0.999	0.999
OG0003775	0.998	0.999
OG0003776	0.914	0.999
OG0003777	0.999	0.999
OG0003778	0.999	0.999
OG0003779	0.999	0.999
OG0003780	0.938	0.999
OG0003781	0.973	0.999
OG0003782	0.999	0.999
OG0003783	0.999	0.999
OG0003784	0.999	0.999
OG0003785	0.994	0.999
OG0003786	0.999	0.999
OG0003787	0.791	0.999
OG0003788	0.887	0.999
OG0003789	0.999	0.999
OG0003790	0.999	0.999
OG0003791	0.999	0.999
OG0003792	0.999	0.999
OG0003793	0.999	0.999
OG0003794	0.999	0.999
OG0003795	0.999	0.999
OG0003796	0.995	0.999
OG0003797	0.999	0.999
OG0003798	0.999	0.999
OG0003799	0.986	0.999
OG0003800	0.998	0.999
OG0003801	0.999	0.999
OG0003802	0.995	0.999
OG0003803	0.999	0.999
OG0003804	0.999	0.999
OG0003805	0.974	0.999
OG0003806	0.999	0.999
OG0003807	0.999	0.999
OG0003808	0.998	0.999
OG0003809	0.995	0.999
OG0003810	0.999	0.999
OG0003811	0.999	0.999
OG0003812	0.999	0.999
OG0003813	0.999	0.999
OG0003814	0.996	0.999
OG0003815	0.999	0.999
OG0003816	0.999	0.999
OG0003817	0.996	0.999
OG0003818	0.999	0.999
OG0003819	0.999	0.999
OG0003820	0.999	0.999
OG0003821	0.999	0.999
OG0003822	0.999	0.999
OG0003823	0.995	0.999
OG0003824	0.997	0.999
OG0003826	0.999	0.999
OG0003827	0.999	0.999
OG0003828	0.999	0.999
OG0003830	0.996	0.999
OG0003831	0.999	0.999
OG0003832	0.994	0.999
OG0003833	0.999	0.999
OG0003834	0.999	0.999
OG0003835	0.999	0.999
OG0003836	0.999	0.999
OG0003837	0.994	0.999
OG0003838	0.994	0.999
OG0003839	0.996	0.999
OG0003840	0.999	0.999
OG0003841	0.999	0.999
OG0003842	0.999	0.999
OG0003843	0.999	0.999
OG0003844	0.836	0.999
OG0003845	0.999	0.999
OG0003846	0.997	0.999
OG0003847	0.999	0.999
OG0003848	0.999	0.999
OG0003849	0.992	0.999
OG0003850	0.999	0.999
OG0003851	0.999	0.999
OG0003852	0.999	0.999
OG0003853	0.916	0.999
OG0003854	0.939	0.999
OG0003855	0.999	0.999
OG0003856	0.999	0.999
OG0003857	0.944	0.999
OG0003858	0.999	0.999
OG0003859	0.996	0.999
OG0003860	0.995	0.999
OG0003861	0.999	0.999
OG0003862	0.999	0.999
OG0003863	0.997	0.999
OG0003864	0.997	0.999
OG0003866	0.999	0.999
OG0003867	0.999	0.999
OG0003868	0.997	0.999
OG0003869	0.894	0.999
OG0003870	0.997	0.999
OG0003871	0.998	0.999
OG0003872	0.961	0.999
OG0003873	0.997	0.999
OG0003874	0.999	0.999
OG0003875	0.516	0.999
OG0003876	0.818	0.999
OG0003877	0.999	0.999
OG0003878	0.999	0.999
OG0003879	0.999	0.999
OG0003880	0.999	0.999
OG0003881	0.998	0.999
OG0003882	0.946	0.999
OG0003883	0.986	0.999
OG0003884	0.994	0.999
OG0003885	0.999	0.999
OG0003886	0.999	0.999
OG0003887	0.999	0.999
OG0003888	0.995	0.999
OG0003889	0.997	0.999
OG0003890	0.995	0.999
OG0003891	0.997	0.999
OG0003892	0.846	0.999
OG0003893	0.997	0.999
OG0003894	0.997	0.999
OG0003895	0.876	0.999
OG0003896	0.998	0.999
OG0003897	0.997	0.999
OG0003898	0.993	0.999
OG0003899	0.991	0.999
OG0003900	0.999	0.999
OG0003901	0.999	0.999
OG0003902	0.995	0.999
OG0003903	0.999	0.999
OG0003904	0.999	0.999
OG0003905	0.997	0.999
OG0003906	0.993	0.999
OG0003907	0.845	0.999
OG0003908	0.995	0.999
OG0003909	0.997	0.999
OG0003910	0.999	0.999
OG0003911	0.935	0.999
OG0003912	0.878	0.999
OG0003913	0.944	0.999
OG0003914	0.998	0.999
OG0003915	0.93	0.999
OG0003916	0.999	0.999
OG0003917	0.998	0.999
OG0003918	0.999	0.999
OG0003919	0.926	0.999
OG0003920	0.923	0.999
OG0003922	0.999	0.999
OG0003924	0.986	0.999
OG0003925	0.995	0.999
OG0003926	0.99	0.999
OG0003927	0.99	0.999
OG0003928	0.986	0.999
OG0003929	0.998	0.999
OG0003936	0.999	0.999
OG0003937	0.999	0.999
OG0003938	0.999	0.999
OG0003939	0.998	0.999
OG0003940	0.999	0.999
OG0003941	0.94	0.999
OG0003942	0.999	0.999
OG0003943	0.999	0.999
OG0003944	0.993	0.999
OG0003945	0.609	0.999
OG0003946	0.999	0.999
OG0003947	0.973	0.999
OG0003948	0.999	0.999
OG0003949	0.999	0.999
OG0003950	0.999	0.999
OG0003951	0.999	0.999
OG0003952	0.998	0.999
OG0003953	0.999	0.999
OG0003954	0.999	0.999
OG0003955	0.999	0.999
OG0003956	0.995	0.999
OG0003957	0.999	0.999
OG0003958	0.996	0.999
OG0003959	0.997	0.999
OG0003960	0.985	0.999
OG0003961	0.999	0.999
OG0003962	0.874	0.999
OG0003963	0.999	0.999
OG0003964	0.999	0.999
OG0003965	0.998	0.999
OG0003966	0.999	0.999
OG0003967	0.995	0.999
OG0003968	0.999	0.999
OG0003969	0.999	0.999
OG0003970	0.998	0.999
OG0003971	0.938	0.999
OG0003972	0.999	0.999
OG0003973	0.998	0.999
OG0003974	0.5	0.999
OG0003975	0.998	0.999
OG0003976	0.999	0.999
OG0003978	0.999	0.999
OG0003979	0.999	0.999
OG0003980	0.999	0.999
OG0003981	0.999	0.999
OG0003982	0.876	0.999
OG0003983	0.999	0.999
OG0003984	0.999	0.999
OG0003985	0.999	0.999
OG0003986	0.999	0.999
OG0003987	0.999	0.999
OG0003988	0.999	0.999
OG0003989	0.999	0.999
OG0003990	0.999	0.999
OG0003991	0.999	0.999
OG0003992	0.999	0.999
OG0003993	0.988	0.999
OG0003994	0.997	0.999
OG0003995	0.999	0.999
OG0003996	0.999	0.999
OG0003997	0.996	0.999
OG0003998	0.999	0.999
OG0003999	0.999	0.999
OG0004000	0.893	0.999
OG0004001	0.999	0.999
OG0004003	0.999	0.999
OG0004004	0.999	0.999
OG0004005	0.913	0.999
OG0004006	0.955	0.999
OG0004007	0.998	0.999
OG0004008	0.999	0.999
OG0004009	0.996	0.999
OG0004010	0.948	0.999
OG0004011	0.999	0.999
OG0004012	0.999	0.999
OG0004013	0.999	0.999
OG0004014	0.887	0.999
OG0004015	0.997	0.999
OG0004016	0.999	0.999
OG0004018	0.953	0.999
OG0004019	0.999	0.999
OG0004020	0.995	0.999
OG0004021	0.999	0.999
OG0004022	0.999	0.999
OG0004023	0.994	0.999
OG0004024	0.999	0.999
OG0004025	0.95	0.999
OG0004026	0.999	0.999
OG0004027	0.938	0.999
OG0004028	0.999	0.999
OG0004029	0.997	0.999
OG0004031	0.999	0.999
OG0004032	0.999	0.999
OG0004033	0.999	0.999
OG0004034	0.995	0.999
OG0004035	0.999	0.999
OG0004036	0.999	0.999
OG0004037	0.999	0.999
OG0004038	0.998	0.999
OG0004039	0.997	0.999
OG0004040	0.999	0.999
OG0004041	0.999	0.999
OG0004042	0.999	0.999
OG0004043	0.999	0.999
OG0004044	0.922	0.999
OG0004045	0.991	0.999
OG0004046	0.966	0.999
OG0004047	0.998	0.999
OG0004048	0.999	0.999
OG0004049	0.999	0.999
OG0004050	0.999	0.999
OG0004051	0.999	0.999
OG0004052	0.999	0.999
OG0004053	0.997	0.999
OG0004054	0.999	0.999
OG0004055	0.995	0.999
OG0004056	0.833	0.999
OG0004057	0.996	0.999
OG0004058	0.966	0.999
OG0004059	0.999	0.999
OG0004060	0.999	0.999
OG0004061	0.999	0.999
OG0004062	0.999	0.999
OG0004063	0.999	0.999
OG0004064	0.999	0.999
OG0004065	0.961	0.999
OG0004066	0.946	0.999
OG0004067	0.996	0.999
OG0004068	0.999	0.999
OG0004069	0.914	0.999
OG0004070	0.999	0.999
OG0004071	0.999	0.999
OG0004072	0.995	0.999
OG0004073	0.996	0.999
OG0004074	0.96	0.999
OG0004075	0.961	0.999
OG0004076	0.999	0.999
OG0004077	0.998	0.999
OG0004078	0.995	0.999
OG0004079	0.999	0.999
OG0004080	0.999	0.999
OG0004081	0.999	0.999
OG0004082	0.999	0.999
OG0004083	0.943	0.999
OG0004084	0.999	0.999
OG0004085	0.999	0.999
OG0004086	0.986	0.999
OG0004087	0.998	0.999
OG0004088	0.999	0.999
OG0004089	0.999	0.999
OG0004090	0.948	0.999
OG0004091	0.942	0.999
OG0004092	0.999	0.999
OG0004093	0.999	0.999
OG0004094	0.999	0.999
OG0004095	0.877	0.999
OG0004096	0.985	0.999
OG0004097	0.88	0.999
OG0004098	0.999	0.999
OG0004099	0.999	0.999
OG0004100	0.999	0.999
OG0004101	0.999	0.999
OG0004102	0.914	0.999
OG0004103	0.999	0.999
OG0004104	0.999	0.999
OG0004105	0.958	0.999
OG0004106	0.999	0.999
OG0004107	0.999	0.999
OG0004108	0.999	0.999
OG0004109	0.999	0.999
OG0004110	0.995	0.999
OG0004111	0.994	0.999
OG0004112	0.944	0.999
OG0004113	0.965	0.999
OG0004114	0.882	0.999
OG0004115	0.999	0.999
OG0004116	0.999	0.999
OG0004117	0.999	0.999
OG0004118	0.999	0.999
OG0004119	0.994	0.999
OG0004121	0.994	0.999
OG0004122	0.999	0.999
OG0004123	0.265	0.999
OG0004124	0.904	0.999
OG0004125	0.876	0.999
OG0004126	0.972	0.999
OG0004127	0.999	0.999
OG0004128	0.999	0.999
OG0004129	0.999	0.999
OG0004130	0.999	0.999
OG0004131	0.994	0.999
OG0004132	0.999	0.999
OG0004133	0.995	0.999
OG0004134	0.999	0.999
OG0004135	0.999	0.999
OG0004136	0.999	0.999
OG0004137	0.99	0.999
OG0004138	0.999	0.999
OG0004139	0.999	0.999
OG0004140	0.998	0.999
OG0004141	0.998	0.999
OG0004142	0.993	0.999
OG0004143	0.999	0.999
OG0004144	0.999	0.999
OG0004145	0.999	0.999
OG0004146	0.999	0.999
OG0004147	0.968	0.999
OG0004148	0.999	0.999
OG0004149	0.999	0.999
OG0004150	0.999	0.999
OG0004151	0.999	0.999
OG0004152	0.947	0.999
OG0004153	0.999	0.999
OG0004154	0.999	0.999
OG0004155	0.999	0.999
OG0004156	0.999	0.999
OG0004157	0.995	0.999
OG0004158	0.999	0.999
OG0004159	0.999	0.999
OG0004160	0.966	0.999
OG0004161	0.999	0.999
OG0004162	0.999	0.999
OG0004163	0.997	0.999
OG0004164	0.999	0.999
OG0004165	0.977	0.999
OG0004166	0.999	0.999
OG0004167	0.999	0.999
OG0004168	0.999	0.999
OG0004169	0.999	0.999
OG0004170	0.999	0.999
OG0004171	0.996	0.999
OG0004172	0.999	0.999
OG0004173	0.866	0.999
OG0004174	0.995	0.999
OG0004175	0.987	0.999
OG0004176	0.999	0.999
OG0004177	0.999	0.999
OG0004178	0.951	0.999
OG0004179	0.999	0.999
OG0004180	0.995	0.999
OG0004181	0.999	0.999
OG0004182	0.987	0.999
OG0004183	0.999	0.999
OG0004184	0.993	0.999
OG0004185	0.999	0.999
OG0004186	0.882	0.999
OG0004187	0.999	0.999
OG0004188	0.927	0.999
OG0004189	0.997	0.999
OG0004190	0.999	0.999
OG0004191	0.966	0.999
OG0004192	0.999	0.999
OG0004193	0.999	0.999
OG0004194	0.943	0.999
OG0004195	0.999	0.999
OG0004196	0.939	0.999
OG0004198	0.999	0.999
OG0004199	0.999	0.999
OG0004200	0.862	0.999
OG0004201	0.999	0.999
OG0004202	0.99	0.999
OG0004203	0.999	0.999
OG0004204	0.995	0.999
OG0004205	0.997	0.999
OG0004206	0.999	0.999
OG0004207	0.999	0.999
OG0004209	0.961	0.999
OG0004210	0.999	0.999
OG0004211	0.999	0.999
OG0004212	0.999	0.999
OG0004213	0.996	0.999
OG0004214	0.967	0.999
OG0004215	0.999	0.999
OG0004216	0.999	0.999
OG0004217	0.982	0.999
OG0004218	0.999	0.999
OG0004219	0.999	0.999
OG0004220	0.999	0.999
OG0004221	0.999	0.999
OG0004222	0.999	0.999
OG0004223	0.999	0.999
OG0004224	0.927	0.999
OG0004225	0.999	0.999
OG0004226	0.999	0.999
OG0004227	0.995	0.999
OG0004228	0.998	0.999
OG0004229	0.999	0.999
OG0004230	0.999	0.999
OG0004231	0.999	0.999
OG0004232	0.999	0.999
OG0004233	0.993	0.999
OG0004234	0.999	0.999
OG0004235	0.998	0.999
OG0004236	0.999	0.999
OG0004237	0.93	0.999
OG0004238	0.999	0.999
