Gene family	p-value	FDR
OG0000451	0.108	0.999
OG0000453	0.177	0.999
OG0000454	0.022	0.657242819843342
OG0000455	0.581	0.999
OG0000457	0.001	0.0417591240875912
OG0000459	0.755	0.999
OG0000460	0.999	0.999
OG0000464	0.001	0.0417591240875912
OG0000465	0.001	0.0417591240875912
OG0000466	0.006	0.215210031347962
OG0000467	0	0
OG0000472	0.999	0.999
OG0000473	0.897	0.999
OG0000474	0	0
OG0000478	0.999	0.999
OG0000479	0.999	0.999
OG0000480	0.142	0.999
OG0000481	0.81	0.999
OG0000482	0.925	0.999
OG0000483	0.013	0.416655462184874
OG0000484	0.005	0.184548387096774
OG0000485	0.001	0.0417591240875912
OG0000486	0	0
OG0000487	0	0
OG0000489	0.984	0.999
OG0000490	0.202	0.999
OG0000491	0.513	0.999
OG0000492	0	0
OG0000493	0.011	0.359605714285714
OG0000494	0.97	0.999
OG0000496	0.717	0.999
OG0000497	0.137	0.999
OG0000498	0.999	0.999
OG0000499	0.078	0.999
OG0000501	0.93	0.999
OG0000503	0.999	0.999
OG0000504	0.783	0.999
OG0000507	0.99	0.999
OG0000508	0.748	0.999
OG0000511	0.659	0.999
OG0000512	0.523	0.999
OG0000513	0.79	0.999
OG0000514	0.259	0.999
OG0000515	0	0
OG0000517	0.485	0.999
OG0000518	0.997	0.999
OG0000520	0.001	0.0417591240875912
OG0000521	0.022	0.657242819843342
OG0000524	0	0
OG0000525	0.005	0.184548387096774
OG0000526	0.991	0.999
OG0000527	0.242	0.999
OG0000528	0.084	0.999
OG0000529	0.011	0.359605714285714
OG0000530	0.999	0.999
OG0000531	0.689	0.999
OG0000533	0.995	0.999
OG0000536	0	0
OG0000537	0.381	0.999
OG0000538	0.629	0.999
OG0000539	0.984	0.999
OG0000540	0.717	0.999
OG0000541	0.999	0.999
OG0000542	0.012	0.390068181818182
OG0000543	0.628	0.999
OG0000544	0.016	0.502945054945055
OG0000545	0.011	0.359605714285714
OG0000546	0.235	0.999
OG0000547	0.059	0.999
OG0000548	0.998	0.999
OG0000551	0.141	0.999
OG0000552	0.91	0.999
OG0000553	0.235	0.999
OG0000554	0.026	0.7628
OG0000557	0.864	0.999
OG0000558	0.016	0.502945054945055
OG0000559	0	0
OG0000562	0.135	0.999
OG0000563	0.999	0.999
OG0000564	0.136	0.999
OG0000566	0.577	0.999
OG0000567	0.276	0.999
OG0000568	0.009	0.311111782477341
OG0000569	0	0
OG0000570	0.005	0.184548387096774
OG0000571	0	0
OG0000573	0.045	0.999
OG0000574	0.999	0.999
OG0000575	0	0
OG0000576	0.999	0.999
OG0000579	0.001	0.0417591240875912
OG0000580	0.542	0.999
OG0000581	0.977	0.999
OG0000582	0.688	0.999
OG0000583	0.446	0.999
OG0000584	0.003	0.120866197183099
OG0000585	0	0
OG0000586	0.069	0.999
OG0000588	0.979	0.999
OG0000589	0.094	0.999
OG0000590	0.119	0.999
OG0000592	0.007	0.25029375
OG0000593	0.998	0.999
OG0000594	0.946	0.999
OG0000598	0.002	0.0811489361702128
OG0000600	0.004	0.157820689655172
OG0000601	0.122	0.999
OG0000602	0	0
OG0000603	0	0
OG0000606	0.051	0.999
OG0000607	0.008	0.281649230769231
OG0000608	0.954	0.999
OG0000609	0.369	0.999
OG0000611	0.998	0.999
OG0000612	0.346	0.999
OG0000614	0.001	0.0417591240875912
OG0000615	0.974	0.999
OG0000617	0.074	0.999
OG0000619	0.995	0.999
OG0000620	0.988	0.999
OG0000621	0.146	0.999
OG0000622	0.55	0.999
OG0000623	0.803	0.999
OG0000625	0.986	0.999
OG0000626	0.99	0.999
OG0000627	0.993	0.999
OG0000629	0	0
OG0000631	0.066	0.999
OG0000632	0.018	0.556637837837838
OG0000633	0.005	0.184548387096774
OG0000634	0.797	0.999
OG0000635	0.728	0.999
OG0000636	0.005	0.184548387096774
OG0000639	0.816	0.999
OG0000640	0.012	0.390068181818182
OG0000646	0.887	0.999
OG0000648	0.816	0.999
OG0000649	0.56	0.999
OG0000650	0.728	0.999
OG0000651	0.094	0.999
OG0000654	0.451	0.999
OG0000655	0.023	0.681777202072539
OG0000657	0.198	0.999
OG0000658	0	0
OG0000659	0.92	0.999
OG0000660	0.926	0.999
OG0000661	0.001	0.0417591240875912
OG0000662	0.133	0.999
OG0000663	0.719	0.999
OG0000666	0.977	0.999
OG0000667	0.54	0.999
OG0000668	0.512	0.999
OG0000669	0.719	0.999
OG0000671	0	0
OG0000673	0.093	0.999
OG0000675	0.001	0.0417591240875912
OG0000676	0.927	0.999
OG0000677	0.053	0.999
OG0000678	0.971	0.999
OG0000679	0.004	0.157820689655172
OG0000680	0.771	0.999
OG0000681	0.999	0.999
OG0000682	0	0
OG0000683	0.398	0.999
OG0000684	0.988	0.999
OG0000685	0.998	0.999
OG0000687	0	0
OG0000688	0.986	0.999
OG0000691	0.408	0.999
OG0000692	0.866	0.999
OG0000693	0.831	0.999
OG0000694	0.148	0.999
OG0000696	0.99	0.999
OG0000697	0.876	0.999
OG0000698	0.996	0.999
OG0000699	0.989	0.999
OG0000700	0.969	0.999
OG0000701	0.914	0.999
OG0000706	0.747	0.999
OG0000708	0	0
OG0000709	0.896	0.999
OG0000710	0.537	0.999
OG0000711	0.729	0.999
OG0000712	0.977	0.999
OG0000713	0.992	0.999
OG0000716	0.792	0.999
OG0000718	0.998	0.999
OG0000719	0	0
OG0000723	0	0
OG0000724	0.954	0.999
OG0000725	0.999	0.999
OG0000726	0.946	0.999
OG0000727	0	0
OG0000728	0.992	0.999
OG0000730	0.999	0.999
OG0000731	0.965	0.999
OG0000732	0.001	0.0417591240875912
OG0000733	0.495	0.999
OG0000735	0.999	0.999
OG0000739	0.999	0.999
OG0000740	0.999	0.999
OG0000741	0.01	0.336529411764706
OG0000742	0.841	0.999
OG0000743	0.992	0.999
OG0000744	0.99	0.999
OG0000746	0.999	0.999
OG0000747	0	0
OG0000748	0	0
OG0000752	0.325	0.999
OG0000753	0	0
OG0000754	0.018	0.556637837837838
OG0000755	0.999	0.999
OG0000756	0.999	0.999
OG0000757	0.945	0.999
OG0000758	0.325	0.999
OG0000760	0.71	0.999
OG0000767	0.391	0.999
OG0000768	0.995	0.999
OG0000769	0.1	0.999
OG0000770	0.999	0.999
OG0000771	0	0
OG0000772	0	0
OG0000774	0	0
OG0000775	0	0
OG0000779	0.993	0.999
OG0000780	0	0
OG0000781	0.031	0.900258883248731
OG0000782	0.972	0.999
OG0000783	0.992	0.999
OG0000784	0.994	0.999
OG0000785	0.95	0.999
OG0000786	0.399	0.999
OG0000787	0.92	0.999
OG0000788	0.999	0.999
OG0000791	0.999	0.999
OG0000792	0.986	0.999
OG0000793	0.994	0.999
OG0000794	0.998	0.999
OG0000795	0.001	0.0417591240875912
OG0000796	0.999	0.999
OG0000797	0.985	0.999
OG0000799	0.044	0.999
OG0000800	0.936	0.999
OG0000802	0.992	0.999
OG0000803	0.244	0.999
OG0000804	0	0
OG0000806	0.991	0.999
OG0000807	0.999	0.999
OG0000808	0.999	0.999
OG0000810	0.904	0.999
OG0000811	0	0
OG0000812	0.802	0.999
OG0000813	0	0
OG0000814	0.833	0.999
OG0000815	0	0
OG0000816	0.72	0.999
OG0000820	0.988	0.999
OG0000821	0.965	0.999
OG0000822	0.983	0.999
OG0000823	0.999	0.999
OG0000824	0.986	0.999
OG0000825	0.977	0.999
OG0000826	0.994	0.999
OG0000829	0.967	0.999
OG0000830	0.992	0.999
OG0000831	0.882	0.999
OG0000832	0.693	0.999
OG0000833	0.032	0.922277078085642
OG0000835	0.906	0.999
OG0000837	0.687	0.999
OG0000839	0.434	0.999
OG0000840	0.772	0.999
OG0000841	0.145	0.999
OG0000842	0.944	0.999
OG0000843	0.84	0.999
OG0000844	0.053	0.999
OG0000845	0.999	0.999
OG0000847	0.02	0.605396825396825
OG0000849	0.999	0.999
OG0000850	0.01	0.336529411764706
OG0000851	0.011	0.359605714285714
OG0000852	0.208	0.999
OG0000853	0.955	0.999
OG0000854	0.999	0.999
OG0000855	0.999	0.999
OG0000856	0.891	0.999
OG0000858	0.976	0.999
OG0000859	0.939	0.999
OG0000860	0.918	0.999
OG0000861	0.394	0.999
OG0000862	0.001	0.0417591240875912
OG0000864	0.999	0.999
OG0000865	0.532	0.999
OG0000866	0.004	0.157820689655172
OG0000868	0.995	0.999
OG0000869	0.999	0.999
OG0000871	0.999	0.999
OG0000872	0.971	0.999
OG0000873	0.879	0.999
OG0000874	0.199	0.999
OG0000875	0.8	0.999
OG0000876	0.585	0.999
OG0000880	0.999	0.999
OG0000881	0.985	0.999
OG0000882	0.827	0.999
OG0000884	0.001	0.0417591240875912
OG0000885	0.999	0.999
OG0000886	0.383	0.999
OG0000887	0.989	0.999
OG0000888	0.946	0.999
OG0000889	0.653	0.999
OG0000890	0.968	0.999
OG0000891	0.221	0.999
OG0000892	0.946	0.999
OG0000893	0.992	0.999
OG0000894	0.151	0.999
OG0000895	0	0
OG0000896	0.781	0.999
OG0000897	0.008	0.281649230769231
OG0000898	0	0
OG0000899	0.989	0.999
OG0000900	0.658	0.999
OG0000902	0.999	0.999
OG0000903	0.103	0.999
OG0000904	0.976	0.999
OG0000906	0.999	0.999
OG0000908	0.153	0.999
OG0000909	0.134	0.999
OG0000910	0.725	0.999
OG0000912	0.999	0.999
OG0000913	0.99	0.999
OG0000914	0.997	0.999
OG0000916	0.999	0.999
OG0000917	0.742	0.999
OG0000918	0	0
OG0000921	0.74	0.999
OG0000923	0.992	0.999
OG0000924	0	0
OG0000925	0.994	0.999
OG0000926	0.009	0.311111782477341
OG0000927	0.417	0.999
OG0000928	0.999	0.999
OG0000929	0.997	0.999
OG0000930	0.999	0.999
OG0000931	0.999	0.999
OG0000932	0	0
OG0000933	0.999	0.999
OG0000934	0.767	0.999
OG0000935	0.999	0.999
OG0000936	0.991	0.999
OG0000937	0.997	0.999
OG0000938	0.999	0.999
OG0000939	0.771	0.999
OG0000940	0.998	0.999
OG0000941	0.999	0.999
OG0000942	0.999	0.999
OG0000943	0.977	0.999
OG0000944	0.997	0.999
OG0000945	0.991	0.999
OG0000946	0.999	0.999
OG0000947	0.998	0.999
OG0000948	0.994	0.999
OG0000949	0.995	0.999
OG0000950	0.999	0.999
OG0000951	0.996	0.999
OG0000952	0.999	0.999
OG0000954	0.044	0.999
OG0000959	0.998	0.999
OG0000960	0.999	0.999
OG0000961	0.998	0.999
OG0000962	0	0
OG0000963	0.999	0.999
OG0000964	0.999	0.999
OG0000965	0.129	0.999
OG0000966	0.667	0.999
OG0000967	0.011	0.359605714285714
OG0000968	0.999	0.999
OG0000970	0.997	0.999
OG0000971	0.754	0.999
OG0000972	0.999	0.999
OG0000973	0.952	0.999
OG0000974	0.998	0.999
OG0000975	0.999	0.999
OG0000976	0.991	0.999
OG0000977	0.999	0.999
OG0000978	0.969	0.999
OG0000979	0.997	0.999
OG0000980	0.992	0.999
OG0000982	0.997	0.999
OG0000983	0.606	0.999
OG0000984	0.991	0.999
OG0000986	0.926	0.999
OG0000987	0.718	0.999
OG0000988	0.677	0.999
OG0000990	0.999	0.999
OG0000991	0.999	0.999
OG0000992	0.999	0.999
OG0000993	0.971	0.999
OG0000994	0.082	0.999
OG0000996	0.992	0.999
OG0000997	0.946	0.999
OG0000998	0.997	0.999
OG0000999	0.992	0.999
OG0001000	0.999	0.999
OG0001001	0.339	0.999
OG0001002	0.51	0.999
OG0001003	0.999	0.999
OG0001004	0.236	0.999
OG0001005	0.989	0.999
OG0001007	0	0
OG0001009	0.006	0.215210031347962
OG0001010	0.995	0.999
OG0001011	0.999	0.999
OG0001012	0.999	0.999
OG0001013	0.784	0.999
OG0001014	0.999	0.999
OG0001015	0.985	0.999
OG0001016	0.559	0.999
OG0001017	0.999	0.999
OG0001018	0	0
OG0001019	0.999	0.999
OG0001020	0.997	0.999
OG0001021	0.999	0.999
OG0001022	0.997	0.999
OG0001023	0.274	0.999
OG0001025	0.835	0.999
OG0001026	0.99	0.999
OG0001027	0.999	0.999
OG0001028	0.998	0.999
OG0001029	0.999	0.999
OG0001030	0.995	0.999
OG0001031	0	0
OG0001033	0.999	0.999
OG0001035	0.998	0.999
OG0001036	0.945	0.999
OG0001037	0.999	0.999
OG0001038	0.534	0.999
OG0001039	0.706	0.999
OG0001044	0.628	0.999
OG0001045	0.913	0.999
OG0001046	0.361	0.999
OG0001047	0.986	0.999
OG0001048	0.948	0.999
OG0001049	0.423	0.999
OG0001050	0.98	0.999
OG0001051	0.999	0.999
OG0001052	0.937	0.999
OG0001053	0.998	0.999
OG0001054	0.963	0.999
OG0001055	0.991	0.999
OG0001056	0.397	0.999
OG0001057	0	0
OG0001058	0.997	0.999
OG0001059	0.999	0.999
OG0001060	0.995	0.999
OG0001061	0.993	0.999
OG0001062	0.995	0.999
OG0001063	0.011	0.359605714285714
OG0001066	0.999	0.999
OG0001067	0.996	0.999
OG0001068	0.091	0.999
OG0001070	0.995	0.999
OG0001072	0.022	0.657242819843342
OG0001073	0.991	0.999
OG0001074	0.001	0.0417591240875912
OG0001076	0.999	0.999
OG0001077	0.986	0.999
OG0001078	0.997	0.999
OG0001079	0.01	0.336529411764706
OG0001080	0.991	0.999
OG0001081	0.966	0.999
OG0001082	0.999	0.999
OG0001083	0.227	0.999
OG0001084	0.999	0.999
OG0001086	0.164	0.999
OG0001087	0.989	0.999
OG0001088	0.999	0.999
OG0001089	0.995	0.999
OG0001090	0.975	0.999
OG0001091	0.999	0.999
OG0001092	0.986	0.999
OG0001093	0.001	0.0417591240875912
OG0001095	0.622	0.999
OG0001096	0.883	0.999
OG0001097	0.999	0.999
OG0001099	0.969	0.999
OG0001100	0.967	0.999
OG0001101	0.122	0.999
OG0001102	0.999	0.999
OG0001103	0.001	0.0417591240875912
OG0001104	0.99	0.999
OG0001105	0.885	0.999
OG0001106	0.997	0.999
OG0001107	0.999	0.999
OG0001109	0.99	0.999
OG0001111	0.99	0.999
OG0001113	0.999	0.999
OG0001114	0.001	0.0417591240875912
OG0001115	0.999	0.999
OG0001116	0.764	0.999
OG0001117	0.847	0.999
OG0001118	0.368	0.999
OG0001120	0.999	0.999
OG0001121	0.946	0.999
OG0001122	0.637	0.999
OG0001123	0.995	0.999
OG0001124	0.998	0.999
OG0001125	0.995	0.999
OG0001126	0.999	0.999
OG0001127	0.995	0.999
OG0001128	0.998	0.999
OG0001130	0.901	0.999
OG0001131	0.939	0.999
OG0001132	0.966	0.999
OG0001133	0.999	0.999
OG0001134	0	0
OG0001135	0.999	0.999
OG0001136	0.462	0.999
OG0001137	0.995	0.999
OG0001138	0.999	0.999
OG0001141	0.65	0.999
OG0001142	0.483	0.999
OG0001143	0.919	0.999
